localID,pid,fields,dx,dyv,dz,dpitch,dyaw,droll,msx,msy,msz,datetime,comment
chest_2_AAA,-1,ActorTransform,11195.25,75808.47,498.76,0,0,0,1,1,1,,
chest_2_AAB,-1,ActorTransform,28466.28,54539.61,12035.22,0,0,0,1,1,1,,
chest_2_AAC,-1,ActorTransform,15490.97,66062.56,2202.74,0,0,0,1,1,1,,
chest_2_AAD,-1,ActorTransform,36017.79,61482.67,2024.52,0,0,0,1,1,1,,
chest_2_AAE,-1,ActorTransform,57789.47,56483.6,15596,0,0,0,1,1,1,,
chest_2_AAF,-1,ActorTransform,41846.11,71499.34,3023.29,0,0,0,1,1,1,,
chest_2_AAG,-1,ActorTransform,42544.67,68513.11,2353.27,0,0,0,1,1,1,,
chest_2_AAH,-1,ActorTransform,28621.62,46366.82,12831.61,0,0,0,1,1,1,,
chest_2_AAI,-1,ActorTransform,38806.45,62748.96,2037.28,0,0,0,1,1,1,,
chest_2_AAJ,-1,ActorTransform,38105.48,58547.12,6207.61,0,0,0,1,1,1,,
chest_2_AAK,-1,ActorTransform,42829.66,65629.79,2810.49,0,0,0,1,1,1,,
chest_2_AAL,-1,ActorTransform,44412.36,41274.78,12619.22,0,0,0,1,1,1,,
chest_2_AAM,-1,ActorTransform,35204.7,66540.78,1920.14,0,0,0,1,1,1,,
chest_2_AAN,-1,ActorTransform,39228.61,54279.62,7864.47,0,0,0,1,1,1,,
chest_2_AAO,-1,ActorTransform,40322.8,51567.68,10301.52,0,0,0,1,1,1,,
chest_2_AAP,-1,ActorTransform,32295.95,68785.12,2809.51,0,0,0,1,1,1,,
chest_2_AAQ,-1,ActorTransform,37676.91,64013.71,3319.73,0,0,0,1,1,1,,
chest_2_AAR,-1,ActorTransform,41496.89,63939.22,2303.16,0,0,0,1,1,1,,
chest_2_AAS,-1,ActorTransform,37610.64,54993.16,6348.87,0,0,0,1,1,1,,
chest_2_AAT,-1,ActorTransform,36356.18,52760.01,9347.11,0,0,0,1,1,1,,
chest_2_AAU,-1,ActorTransform,61634.29,55446.13,14006.72,0,0,0,1,1,1,,
chest_2_AAV,-1,ActorTransform,42655.9,67711.53,2360.12,0,0,0,1,1,1,,
chest_2_AAW,-1,ActorTransform,33033.3,65268.69,2110.83,0,0,0,1,1,1,,
chest_2_AAX,-1,ActorTransform,17518.32,64091.51,1254.42,0,0,0,1,1,1,,
chest_2_AAY,-1,ActorTransform,24220.52,54541.03,10279.84,0,0,0,1,1,1,,
chest_2_AAZ,-1,ActorTransform,12506.41,64780.14,1398.45,0,0,0,1,1,1,,
chest_2_ABA,-1,ActorTransform,15708.65,64043.86,1188.66,0,0,0,1,1,1,,
chest_2_ABB,-1,ActorTransform,8002.39,52046.38,1121.7,0,0,0,1,1,1,,
chest_2_ABC,-1,ActorTransform,43935,76408,10362,0,0,0,1,1,1,,
chest_2_ABD,-1,ActorTransform,43035,87805,14158,0,0,0,1,1,1,,
chest_2_ABE,-1,ActorTransform,40816,38525,9560,0,0,0,1,1,1,,
chest_2_ABF,-1,ActorTransform,18885,72126,3868,0,0,0,1,1,1,,
