zoneIndex,x,y,z,pitch,yaw,roll
2,11195.25,75808.47,498.76,0,0,0
2,28466.28,54539.61,12035.22,0,0,0
2,15490.97,66062.56,2202.74,0,0,0
2,36017.79,61482.67,2024.52,0,0,0
2,57789.47,56483.60,15596.00,0,0,0
2,41846.11,71499.34,3023.29,0,0,0
2,42544.67,68513.11,2353.27,0,0,0
2,28621.62,46366.82,12831.61,0,0,0
2,38806.45,62748.96,2037.28,0,0,0
2,38105.48,58547.12,6207.61,0,0,0
2,42829.66,65629.79,2810.49,0,0,0
2,44412.36,41274.78,12619.22,0,0,0
2,35204.70,66540.78,1920.14,0,0,0
2,39228.61,54279.62,7864.47,0,0,0
2,40322.80,51567.68,10301.52,0,0,0
2,32295.95,68785.12,2809.51,0,0,0
2,37676.91,64013.71,3319.73,0,0,0
2,41496.89,63939.22,2303.16,0,0,0
2,37610.64,54993.16,6348.87,0,0,0
2,36356.18,52760.01,9347.11,0,0,0
2,61634.29,55446.13,14006.72,0,0,0
2,42655.90,67711.53,2360.12,0,0,0
2,33033.30,65268.69,2110.83,0,0,0
2,17518.32,64091.51,1254.42,0,0,0
2,24220.52,54541.03,10279.84,0,0,0
2,12506.41,64780.14,1398.45,0,0,0
2,15708.65,64043.86,1188.66,0,0,0
2,8002.39,52046.38,1121.70,0,0,0
2,43935.00,76408.00,10362.00,0,0,0
2,43035.00,87805.00,14158.00,0,0,0
2,40816.00,38525.00,9560.00,0,0,0
2,18885.00,72126.00,3868.00,0,0,0
2,45986.00,64978.00,7086.00,0,0,0
2,54993.00,66317.00,13342.00,0,0,0
2,27617.00,56583.00,10501.00,0,0,0
2,14561.00,67145.00,3250.00,0,0,0
2,23962.00,52159.00,8209.00,0,0,0
2,31616.14,39987.34,12150.41,0,0,0
2,32864.00,50434.00,9004.00,0,0,0
2,16632.00,48404.00,12116.00,0,0,0
2,17767.00,60829.00,1224.00,0,0,0
2,55080.00,78157.00,16066.00,0,0,0
2,41947.00,43300.00,9292.00,0,0,0
2,16636.00,61988.00,3248.00,0,0,0
2,6393.00,57547.00,1077.00,0,0,0
2,30381.00,65872.00,1392.00,0,0,0
2,41261.00,60407.00,6311.00,0,0,0
2,57256.00,47767.00,15611.00,0,0,0
2,47810.00,56564.00,11779.00,0,0,0
2,44294.00,61395.00,6946.00,0,0,0
2,38678.00,43801.00,8869.00,0,0,0
2,30258.00,53768.00,9693.00,0,0,0
2,19709.00,52166.00,10302.00,0,0,0
2,29201.00,70038.00,4106.00,0,0,0
2,25047.00,90007.00,11414.00,0,0,0
2,20588.00,72356.00,4607.00,0,0,0
2,50489.00,44921.00,10451.00,0,0,0
2,26091.00,90907.00,11630.00,0,0,0
2,22775.00,89837.00,10620.00,0,0,0
2,56346.00,66876.00,14239.00,0,0,0
2,31022.00,51406.00,9254.00,0,0,0
2,17987.00,76812.00,6493.00,0,0,0
2,52554.00,65446.00,13013.00,0,0,0
2,14943.00,69569.00,1083.00,0,0,0
